Continent,Year,Total_Military_Expenditure_per_Year,Average_GPI_per_Year
Africa,2008,36542.45307,2.108795918
Africa,2009,35753.05536,2.122265306
Africa,2010,31113.00486,2.122530612
Africa,2011,33665.80131,2.196244898
Africa,2012,36981.77204,2.185367347
Africa,2013,41429.36169,2.183693878
Africa,2014,43288.32125,2.203102041
Africa,2015,41058.60061,2.208285714
Africa,2016,40680.59682,2.215428571
Africa,2017,39978.66041,2.229714286
Africa,2018,37575.61037,2.243367347
Africa,2019,38549.70451,2.241244898
Africa,2020,40130.93928,2.25755102
Africa,2021,41214.89513,2.279061224
Africa,2022,38334.27153,2.288591837
Asia,2008,369630.125,2.128195652
Asia,2009,409050.8494,2.129521739
Asia,2010,423156.4325,2.141108696
Asia,2011,438028.4842,2.126630435
Asia,2012,469325.0724,2.128782609
Asia,2013,501599.8163,2.118347826
Asia,2014,531335.1361,2.097130435
Asia,2015,527686.6958,2.113565217
Asia,2016,517284.9792,2.17523913
Asia,2017,547805.7615,2.192391304
Asia,2018,569091.987,2.201391304
Asia,2019,579122.3549,2.193347826
Asia,2020,588528.6462,2.19326087
Asia,2021,610351.777,2.184282609
Asia,2022,637201.0363,2.173652174
Europe,2008,349534.0651,1.666230769
Europe,2009,355624.7776,1.685282051
Europe,2010,349082.883,1.697666667
Europe,2011,342767.6727,1.688564103
Europe,2012,347577.3621,1.684615385
Europe,2013,342468.4664,1.665846154
Europe,2014,346886.03,1.645307692
Europe,2015,356367.8283,1.649
Europe,2016,370884.7257,1.647410256
Europe,2017,360259.3713,1.661820513
Europe,2018,366043.8188,1.667205128
Europe,2019,384909.4135,1.656948718
Europe,2020,404779.0359,1.662923077
Europe,2021,414562.127,1.655
Europe,2022,482651.495,1.672435897
North America,2008,919631.0557,1.983857143
North America,2009,991718.7825,1.988642857
North America,2010,1016911.936,2.025285714
North America,2011,1006357.017,2.033714286
North America,2012,951422.2392,2.041642857
North America,2013,879307.6978,2.003642857
North America,2014,827351.3347,1.991642857
North America,2015,811648.9436,1.9945
North America,2016,810387.2373,1.9825
North America,2017,806211.5201,1.997142857
North America,2018,830154.65,2.006428571
North America,2019,875977.9517,2.054642857
North America,2020,918664.2047,2.064571429
North America,2021,908736.4453,2.074428571
North America,2022,898978.972,2.096
Oceania,2008,23313.39747,1.546666667
Oceania,2009,25032.83453,1.554
Oceania,2010,25323.02141,1.555333333
Oceania,2011,24944.77589,1.587
Oceania,2012,24121.22163,1.598333333
Oceania,2013,23882.14364,1.583666667
Oceania,2014,25761.95571,1.557666667
Oceania,2015,28249.15168,1.547333333
Oceania,2016,30921.37826,1.546666667
Oceania,2017,31017.16428,1.547
Oceania,2018,30535.91405,1.543
Oceania,2019,31835.65908,1.556666667
Oceania,2020,33330.91678,1.564333333
Oceania,2021,35105.68812,1.606666667
Oceania,2022,35371.90404,1.626666667
South America,2008,41328.79899,2.033090909
South America,2009,43945.09556,2.057454545
South America,2010,47460.67313,2.092909091
South America,2011,46513.38802,2.048909091
South America,2012,47643.40961,2.017
South America,2013,49654.12708,2.030090909
South America,2014,50247.55282,2.015545455
South America,2015,49701.73707,2.058181818
South America,2016,47438.44331,2.044363636
South America,2017,50080.71829,2.034090909
South America,2018,51128.55614,2.056909091
South America,2019,50087.03107,2.1
South America,2020,49550.88631,2.142909091
South America,2021,48507.09788,2.160909091
South America,2022,46762.08202,2.156545455
